"W1"	"W2"	"W3"
"651"	-0.65	0.85	0.8
"652"	-0.65	0.86	0.79
"653"	-0.65	0.87	0.78
"654"	-0.65	0.88	0.77
"655"	-0.65	0.89	0.76
"656"	-0.65	0.9	0.75
"657"	-0.65	0.91	0.74
"658"	-0.65	0.92	0.73
"659"	-0.65	0.93	0.72
"660"	-0.65	0.94	0.71
"661"	-0.65	0.95	0.7
"662"	-0.65	0.96	0.69
"663"	-0.65	0.97	0.68
"664"	-0.65	0.98	0.67
"665"	-0.65	0.99	0.66
"666"	-0.65	1	0.65
"667"	-0.64	0.64	1
"668"	-0.64	0.65	0.99
"669"	-0.64	0.66	0.98
"670"	-0.64	0.67	0.97
"671"	-0.64	0.68	0.96
"672"	-0.64	0.69	0.95
"673"	-0.64	0.7	0.94
"674"	-0.64	0.71	0.93
"675"	-0.64	0.72	0.92
"676"	-0.64	0.73	0.91
"677"	-0.64	0.74	0.9
"678"	-0.64	0.75	0.89
"679"	-0.64	0.76	0.88
"680"	-0.64	0.77	0.87
"681"	-0.64	0.78	0.86
"682"	-0.64	0.79	0.85
"683"	-0.64	0.8	0.84
"684"	-0.64	0.81	0.83
"685"	-0.64	0.82	0.82
"686"	-0.64	0.83	0.81
"687"	-0.64	0.84	0.8
"688"	-0.64	0.85	0.79
"689"	-0.64	0.86	0.78
"690"	-0.64	0.87	0.77
"691"	-0.64	0.88	0.76
"692"	-0.64	0.89	0.75
"693"	-0.64	0.9	0.74
"694"	-0.64	0.91	0.73
"695"	-0.64	0.92	0.72
"696"	-0.64	0.93	0.71
"697"	-0.64	0.94	0.7
"698"	-0.64	0.95	0.69
"699"	-0.64	0.96	0.68
"700"	-0.64	0.97	0.67
"701"	-0.64	0.98	0.66
"702"	-0.64	0.99	0.65
"703"	-0.64	1	0.64
"704"	-0.63	0.63	1
"705"	-0.63	0.64	0.99
"706"	-0.63	0.65	0.98
"707"	-0.63	0.66	0.97
"708"	-0.63	0.67	0.96
"709"	-0.63	0.68	0.95
"710"	-0.63	0.69	0.94
"711"	-0.63	0.7	0.93
"712"	-0.63	0.71	0.92
"713"	-0.63	0.72	0.91
"714"	-0.63	0.73	0.9
"715"	-0.63	0.74	0.89
"716"	-0.63	0.75	0.88
"717"	-0.63	0.76	0.87
"718"	-0.63	0.77	0.86
"719"	-0.63	0.78	0.85
"720"	-0.63	0.79	0.84
"721"	-0.63	0.8	0.83
"722"	-0.63	0.81	0.82
"723"	-0.63	0.82	0.81
"724"	-0.63	0.83	0.8
"725"	-0.63	0.84	0.79
"726"	-0.63	0.85	0.78
"727"	-0.63	0.86	0.77
"728"	-0.63	0.87	0.76
"729"	-0.63	0.88	0.75
"730"	-0.63	0.89	0.74
"731"	-0.63	0.9	0.73
"732"	-0.63	0.91	0.72
"733"	-0.63	0.92	0.71
"734"	-0.63	0.93	0.7
"735"	-0.63	0.94	0.69
"736"	-0.63	0.95	0.68
"737"	-0.63	0.96	0.67
"738"	-0.63	0.97	0.66
"739"	-0.63	0.98	0.65
"740"	-0.63	0.99	0.64
"741"	-0.63	1	0.63
"742"	-0.62	0.62	1
"743"	-0.62	0.63	0.99
"744"	-0.62	0.64	0.98
"745"	-0.62	0.65	0.97
"746"	-0.62	0.66	0.96
